FileName,TabletID
P107256.conll,P107256
P110592.conll,P110592
P111685.conll,P111685
P113657.conll,P113657
P114623.conll,P114623
P116476.conll,P116476
P117590.conll,P117590
P126531.conll,P126531
P128655.conll,P128655
P128672.conll,P128672
P128678.conll,P128678
P135667.conll,P135667
P136340.conll,P136340
P141201.conll,P141201
P142499.conll,P142499
P145489.conll,P145489
P200385.conll,P200385
P203207.conll,P203207
P226726.conll,P226726
P254136.conll,P254136
P340273.conll,P340273
P340797.conll,P340797
P342087.conll,P342087
P342707.conll,P342707
P342708.conll,P342708
P342709.conll,P342709
P382686.conll,P382686
